dataset,mixture_1,mixture_2,experimental_values,a,b,num_compound_a,num_compound_b,diff_mixture_size,overlap_percent,angle_dist
Snitz 1,1,2,0.60416667,6501;264;2879;7685;7731;326;7888;61138;8030;1183,240;93009;323;8148;7762;3314;460;6184;798;6054,10,10,0,0,0.035926516
Snitz 1,1,3,0.65104167,6501;264;2879;7685;7731;326;7888;61138;8030;1183,7710,10,1,9,0,0.042599344
Snitz 1,1,4,0.52604167,6501;264;2879;7685;7731;326;7888;61138;8030;1183,31276;93009;11002;323;7966;8148;7632;22201;19310;7762;2758;3314;460;443158;20859;7059;999;6544;7770;10430,10,20,10,0,0.018896339
Snitz 1,1,5,0.50520833,6501;264;2879;7685;7731;326;7888;61138;8030;1183,10890;93009;11002;6982;323;8797;7966;8148;7632;31252;19310;7762;3314;460;6184;8892;8103;12178;5281168;798;443158;20859;7059;91497;999;10821;6544;7770;7714;10430,10,30,20,0,0.02622709
Snitz 1,1,6,0.41145833,6501;264;2879;7685;7731;326;7888;61138;8030;1183,7710;31276;10890;240;93009;11002;6982;323;8797;7966;8148;24915;7632;22201;31252;19310;7762;26331;2758;3314;460;8130;6184;8892;8103;12178;5281168;798;443158;20859;7059;62444;91497;999;10821;6054;6544;7770;7714;10430,10,40,30,0,0.022899105
Snitz 1,1,7,0.5625,6501;264;2879;7685;7731;326;7888;61138;8030;1183,93009;460;443158;6544,10,4,6,0,0.05340051
Snitz 1,3,38,0.77840909,7710,61199;10890;93009;264;6259976;24915;7762;460;8129;5281168;443158;8918;957;999;17100,1,15,14,0,0.038144019
Snitz 1,3,39,0.77272727,7710,61199;6501;264;2879;7731;326;24915;7762;460;8129;8892;12178;5281168;443158;4133;999;10821;17100;11552;1183,1,20,19,0,0.04786937
Snitz 1,3,40,0.72727273,7710,61199;6501;31276;10890;7519;240;93009;11002;6259976;2879;7685;7731;326;5283349;7583;460;8129;8892;12178;443158;4133;8918;957;61138;999;10821;6544;17100;11552;1183,1,30,29,0,0.031632035
Snitz 1,3,41,0.69318182,7710,61199;6501;31276;10890;7519;240;93009;264;11002;6259976;2879;8797;7685;7731;326;7966;5283349;9609;24915;7583;7762;26331;460;8129;8892;12178;5281168;443158;20859;4133;62444;8918;957;61138;999;10821;6544;6736;17100;31277;10722;11552;1183,1,43,42,0,0.038965668
Snitz 1,8,2,0.75520833,5283349,240;93009;323;8148;7762;3314;460;6184;798;6054,1,10,9,0,0.134018629
Snitz 1,8,3,0.68489583,5283349,7710,1,1,0,0,0.106704498
Snitz 1,8,4,0.84895833,5283349,31276;93009;11002;323;7966;8148;7632;22201;19310;7762;2758;3314;460;443158;20859;7059;999;6544;7770;10430,1,20,19,0,0.130546208
Snitz 1,8,5,0.765625,5283349,10890;93009;11002;6982;323;8797;7966;8148;7632;31252;19310;7762;3314;460;6184;8892;8103;12178;5281168;798;443158;20859;7059;91497;999;10821;6544;7770;7714;10430,1,30,29,0,0.121140506
Snitz 1,8,6,0.80729167,5283349,7710;31276;10890;240;93009;11002;6982;323;8797;7966;8148;24915;7632;22201;31252;19310;7762;26331;2758;3314;460;8130;6184;8892;8103;12178;5281168;798;443158;20859;7059;62444;91497;999;10821;6054;6544;7770;7714;10430,1,40,39,0,0.122850927
Snitz 1,8,7,0.90104167,5283349,93009;460;443158;6544,1,4,3,0,0.169973422
Snitz 1,9,2,0.56770833,7410;6501;264;5281515;6259976;307;7685;326;5283349;7749;7363;7888;7119;8635;8918;6736;8030;5634;7921;1183,240;93009;323;8148;7762;3314;460;6184;798;6054,20,10,10,0,0.020568186
Snitz 1,9,3,0.671875,7410;6501;264;5281515;6259976;307;7685;326;5283349;7749;7363;7888;7119;8635;8918;6736;8030;5634;7921;1183,7710,20,1,19,0,0.026442181
